title,image,link,info,score
被讨厌的勇气,https://img1.doubanio.com/view/subject/m/public/s29237648.jpg,https://book.douban.com/subject/26369699/,岸见一郎、古贺史健 / 渠海霞 / 机械工业出版社 / 2015-3-1 / 39.8,8.5
活着,https://img3.doubanio.com/view/subject/m/public/s29053580.jpg,https://book.douban.com/subject/4913064/,余华 / 作家出版社 / 2012-8-1 / 20.00元,9.3
人类简史,https://img3.doubanio.com/view/subject/m/public/s27814883.jpg,https://book.douban.com/subject/25985021/,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / CNY 68.00,9.1
明朝那些事儿（壹）,https://img3.doubanio.com/view/subject/m/public/s1872653.jpg,https://book.douban.com/subject/1873231/,当年明月 / 中国友谊出版公司 / 2006-9 / 24.80,8.7
万历十五年,https://img3.doubanio.com/view/subject/m/public/s1800355.jpg,https://book.douban.com/subject/1041482/,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,8.9
显微镜下的大明,https://img3.doubanio.com/view/subject/m/public/s29960161.jpg,https://book.douban.com/subject/30414743/,马伯庸 / 湖南文艺出版社 / 2019-1 / 52.00元,8.7
巨人的陨落,https://img3.doubanio.com/view/subject/m/public/s28668834.jpg,https://book.douban.com/subject/26698660/,[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元,8.9
中国历代政治得失,https://img3.doubanio.com/view/subject/m/public/s1319205.jpg,https://book.douban.com/subject/1003479/,钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元,9.1
三国演义（全二册）,https://img3.doubanio.com/view/subject/m/public/s1076932.jpg,https://book.douban.com/subject/1019568/,[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,9.2
明朝那些事儿（1-9）,https://img3.doubanio.com/view/subject/m/public/s3792001.jpg,https://book.douban.com/subject/3674537/,当年明月 / 中国海关出版社 / 2009-4 / 358.20元,9.1
你一定爱读的极简欧洲史,https://img3.doubanio.com/view/subject/m/public/s4542951.jpg,https://book.douban.com/subject/5366248/,约翰·赫斯特（John Hirst） / 席玉苹 / 广西师范大学出版社 / 2011-11-25 / 25.00元,8.2
